team,short,abbreviation,nickname,school,z
Oklahoma State Cowboys,Oklahoma St,OKST,Cowboys,Oklahoma State,Oklahoma St
Old Dominion Monarchs,Old Dominion,ODU,Monarchs,Old Dominion,Old Dominion
Ole Miss Rebels,Ole Miss,MISS,Rebels,Ole Miss,Mississippi
Omaha Mavericks,Omaha,OMA,Mavericks,Omaha,NE Omaha
Oral Roberts Golden Eagles,Oral Roberts,ORU,Golden Eagles,Oral Roberts,Oral Roberts
Oregon Ducks,Oregon,ORE,Ducks,Oregon,Oregon
Oregon State Beavers,Oregon St,ORST,Beavers,Oregon State,Oregon St
Pacific Tigers,Pacific,PAC,Tigers,Pacific,Pacific
Penn State Nittany Lions,Penn State,PSU,Nittany Lions,Penn State,Penn St
Pennsylvania Quakers,Penn,PENN,Quakers,Pennsylvania,Penn
Pepperdine Waves,Pepperdine,PEPP,Waves,Pepperdine,Pepperdine
Pittsburgh Panthers,Pitt,PITT,Panthers,Pittsburgh,Pittsburgh
Portland Pilots,Portland,PORT,Pilots,Portland,Portland
Portland State Vikings,Portland St,PRST,Vikings,Portland State,Portland St
Prairie View A&M Panthers,Prairie View,PV,Panthers,Prairie View A&M,Prairie View
Presbyterian Blue Hose,Presbyterian,PRES,Blue Hose,Presbyterian,Presbyterian
Princeton Tigers,Princeton,PRIN,Tigers,Princeton,Princeton
Providence Friars,Providence,PROV,Friars,Providence,Providence
Purdue Boilermakers,Purdue,PUR,Boilermakers,Purdue,Purdue
Purdue Fort Wayne Mastodons,Purdue FW,PFW,Mastodons,Purdue Fort Wayne,IPFW
Quinnipiac Bobcats,Quinnipiac,QUIN,Bobcats,Quinnipiac,Quinnipiac
Radford Highlanders,Radford,RAD,Highlanders,Radford,Radford
Rhode Island Rams,Rhode Island,URI,Rams,Rhode Island,Rhode Island
Rice Owls,Rice,RICE,Owls,Rice,Rice
Richmond Spiders,Richmond,RICH,Spiders,Richmond,Richmond
Rider Broncs,Rider,RID,Broncs,Rider,Rider
Robert Morris Colonials,Robert Morris,RMU,Colonials,Robert Morris,Robert Morris
Rutgers Scarlet Knights,Rutgers,RUTG,Scarlet Knights,Rutgers,Rutgers
Sacramento State Hornets,Sacramento St,SAC,Hornets,Sacramento State,CS Sacramento
Sacred Heart Pioneers,Sacred Heart,SHU,Pioneers,Sacred Heart,Sacred Heart
Saint Joseph's Hawks,Saint Joseph's,JOES,Hawks,Saint Joseph's,St Joseph's PA
Saint Mary's Gaels,Saint Mary's,SMC,Gaels,Saint Mary's,St Mary's CA
Saint Peter's Peacocks,Saint Peter's,SPU,Peacocks,Saint Peter's,St Peter's
Sam Houston Bearkats,Sam Houston,SHSU,Bearkats,Sam Houston,Sam Houston St
Samford Bulldogs,Samford,SAM,Bulldogs,Samford,Samford
San Diego State Aztecs,San Diego St,SDSU,Aztecs,San Diego State,San Diego St
San Diego Toreros,San Diego,USD,Toreros,San Diego,San Diego
San Francisco Dons,San Francisco,SF,Dons,San Francisco,San Francisco
San José State Spartans,San José St,SJSU,Spartans,San José State,San Jose St
Santa Clara Broncos,Santa Clara,SCU,Broncos,Santa Clara,Santa Clara
Savannah State Tigers,Savannah St,SAV,Tigers,Savannah State,Savannah St
SE Louisiana Lions,SE Louisiana,SELA,Lions,SE Louisiana,SE Louisiana
Seattle U Redhawks,Seattle U,SEA,Redhawks,Seattle U,Seattle
Seton Hall Pirates,Seton Hall,HALL,Pirates,Seton Hall,Seton Hall
Siena Saints,Siena,SIE,Saints,Siena,Siena
SIU Edwardsville Cougars,SIUE,SIUE,Cougars,SIU Edwardsville,Edwardsville
SMU Mustangs,SMU,SMU,Mustangs,SMU,SMU
South Alabama Jaguars,South Alabama,USA,Jaguars,South Alabama,South Alabama
South Carolina Gamecocks,South Carolina,SC,Gamecocks,South Carolina,South Carolina
South Carolina State Bulldogs,SC State,SCST,Bulldogs,South Carolina State,S Carolina St
South Carolina Upstate Spartans,SC Upstate,UPST,Spartans,South Carolina Upstate,SC Upstate
South Dakota Coyotes,South Dakota,SDAK,Coyotes,South Dakota,South Dakota
South Dakota State Jackrabbits,S Dakota St,SDST,Jackrabbits,South Dakota State,S Dakota St
South Florida Bulls,South Florida,USF,Bulls,South Florida,South Florida
Southeast Missouri State Redhawks,SE Missouri,SEMO,Redhawks,Southeast Missouri State,SE Missouri St
Southern Illinois Salukis,S Illinois,SIU,Salukis,Southern Illinois,S Illinois
Southern Jaguars,Southern,SOU,Jaguars,Southern,Southern Univ
Southern Miss Golden Eagles,Southern Miss,USM,Golden Eagles,Southern Miss,Southern Miss
Southern Utah Thunderbirds,Southern Utah,SUU,Thunderbirds,Southern Utah,Southern Utah
St. Bonaventure Bonnies,St Bonaventure,SBU,Bonnies,St. Bonaventure,St Bonaventure
St. Francis (PA) Red Flash,St Francis PA,SFPA,Red Flash,St. Francis (PA),St Francis PA
St. John's Red Storm,St John's,SJU,Red Storm,St. John's,St John's
Stanford Cardinal,Stanford,STAN,Cardinal,Stanford,Stanford
Stephen F. Austin Lumberjacks,SF Austin,SFA,Lumberjacks,Stephen F. Austin,SF Austin
Stetson Hatters,Stetson,STET,Hatters,Stetson,Stetson
Stony Brook Seawolves,Stony Brook,STBK,Seawolves,Stony Brook,Stony Brook
Syracuse Orange,Syracuse,SYR,Orange,Syracuse,Syracuse
TCU Horned Frogs,TCU,TCU,Horned Frogs,TCU,TCU
Temple Owls,Temple,TEM,Owls,Temple,Temple
Tennessee State Tigers,Tennessee St,TNST,Tigers,Tennessee State,Tennessee St
Tennessee Tech Golden Eagles,Tennessee Tech,TNTC,Golden Eagles,Tennessee Tech,Tennessee Tech
Tennessee Volunteers,Tennessee,TENN,Volunteers,Tennessee,Tennessee
Texas A&M-Corpus Christi Islanders,Texas A&M-CC,AMCC,Islanders,Texas A&M-Corpus Christi,TAM C. Christi
