id|lat|long|name|price|pfilt|tfilt|lfilt
5757204|43.03985|-87.90636|Hotel Metro, Autograph Collection|502|FALSE|FALSE|TRUE
5757204|43.03764|-87.90731|Kinn Guesthouse Downtown|567|FALSE|FALSE|TRUE
5757204|43.03893|-87.91243|Hampton Inn & Suites Milwaukee Downtown|220|FALSE|TRUE|FALSE
5757204|43.04194|-87.91087|Saint Kate - The Arts Hotel|439|FALSE|TRUE|TRUE
5757204|43.04202|-87.90098|The Dubbel Dutch|656|FALSE|FALSE|TRUE
5757204|43.03905|-87.91433|Fairfield Inn & Suites by Marriott Milwaukee Downtown|272|FALSE|TRUE|FALSE
5757204|43.03269|-87.90677|Kimpton Journeyman Hotel, An IHG Hotel|613|FALSE|FALSE|TRUE
5757204|43.03750|-87.91479|Courtyard by Marriott Milwaukee Downtown|241|FALSE|TRUE|FALSE
5757204|43.04123|-87.91502|Hyatt Regency Milwaukee|234|FALSE|TRUE|FALSE
5757204|43.03987|-87.91602|SpringHill Suites by Marriott Milwaukee Downtown|277|FALSE|TRUE|FALSE
5757204|43.03867|-87.91772|Hilton Milwaukee City Center|221|FALSE|TRUE|FALSE
5757204|43.04594|-87.91435|Aloft Milwaukee Downtown|269|FALSE|TRUE|FALSE
5757204|43.03867|-87.91931|DoubleTree by Hilton Milwaukee Downtown|234|FALSE|TRUE|FALSE
5757204|43.03850|-87.92150|Frontdesk 735 West Apts Westown Milwaukee|252|FALSE|TRUE|FALSE
5757204|43.02741|-87.91682|The Iron Horse Hotel|406|FALSE|FALSE|TRUE
5757204|43.04600|-87.92268|Kasa Westown Milwaukee|468|FALSE|FALSE|TRUE
5757204|43.05475|-87.91845|Days Inn & Suites by Wyndham Milwaukee|166|TRUE|FALSE|FALSE
5757204|43.03143|-87.93488|Potawatomi Hotel & Casino|612|FALSE|FALSE|TRUE
5757204|43.11652|-87.91702|Motel 6-Milwaukee, Wi - Glendale|151|TRUE|FALSE|FALSE
5757204|42.96457|-87.94845|Rodeway Inn & Suites Milwaukee|156|TRUE|FALSE|FALSE
5757204|42.95954|-87.93736|Travelodge by Wyndham Milwaukee|123|TRUE|FALSE|FALSE
5757204|42.94915|-87.91019|Super 8 by Wyndham Milwaukee Airport|145|TRUE|FALSE|FALSE
5757204|42.95106|-87.85010|Sheridan's Bed & Breakfast|472|FALSE|FALSE|TRUE
5757204|43.14416|-87.91314|Residence Inn by Marriott Milwaukee North/Glendale|436|FALSE|FALSE|TRUE
5757204|43.01184|-88.04823|Days Inn by Wyndham West Allis/Milwaukee|135|TRUE|FALSE|FALSE
5757204|42.93001|-87.92779|Motel 6 Oak Creek, WI|152|TRUE|FALSE|FALSE
5757204|42.92647|-87.93056|Econo Lodge Milwaukee Airport|129|TRUE|FALSE|FALSE
5757204|43.11601|-88.05432|Quality Inn Milwaukee Route 45|156|TRUE|FALSE|FALSE
5757204|42.87363|-87.94230|Value Inn Motel - Milwaukee Airport South|166|TRUE|FALSE|FALSE
