id|lat|long|name|price|pfilt|tfilt|lfilt
5742662|42.88597|-78.87377|The Hilton Garden Inn Buffalo Downtown|251|FALSE|TRUE|FALSE
5742662|42.88855|-78.87463|Hyatt Regency Buffalo Hotel And Conference Center|162|FALSE|TRUE|FALSE
5742662|42.88942|-78.87585|Curtiss Hotel Ascend Hotel Collection|633|FALSE|TRUE|TRUE
5742662|42.88991|-78.87702|Embassy Suites Buffalo|303|FALSE|TRUE|FALSE
5742662|42.88493|-78.87354|Hotel at the Lafayette, Trademark Collection by Wyndham|300|FALSE|TRUE|FALSE
5742662|42.89042|-78.87721|Hampton Inn & Suites Buffalo/Downtown|282|FALSE|TRUE|FALSE
5742662|42.89075|-78.87674|The Westin Buffalo|466|FALSE|TRUE|TRUE
5742662|42.89024|-78.87295|Holiday Inn Express & Suites Buffalo Downtown - Medical Ctr, An IHG Hotel|265|FALSE|TRUE|FALSE
5742662|42.89208|-78.87173|Hostel Buffalo - Niagara| 90|TRUE|FALSE|FALSE
5742662|42.87774|-78.87585|Courtyard by Marriott Buffalo Downtown/Canalside|374|FALSE|TRUE|TRUE
5742662|42.89563|-78.87524|The Mansion on Delaware Avenue|497|FALSE|FALSE|TRUE
5742662|42.87686|-78.87701|Buffalo Marriott At Lecom Harborcenter|395|FALSE|TRUE|TRUE
5742662|42.90106|-78.88132|Buffalo Harmony House|553|FALSE|FALSE|TRUE
5742662|42.90132|-78.87346|Residence Inn by Marriott Buffalo Downtown|387|FALSE|FALSE|TRUE
5742662|42.91929|-78.86863|The Edward Buffalo|369|FALSE|FALSE|TRUE
5742662|42.85337|-78.83217|3 Bedroom In Buffalo Near Niagara Falls|398|FALSE|FALSE|TRUE
5742662|42.78987|-78.81782|Econo Lodge Buffalo South|121|TRUE|FALSE|FALSE
5742662|42.98477|-78.82312|Days Inn by Wyndham Tonawanda/Buffalo|122|TRUE|FALSE|FALSE
5742662|42.96007|-78.76996|Reikart House, Buffalo, a Tribute Portfolio Hotel|456|FALSE|FALSE|TRUE
5742662|42.74428|-78.84862|Motel 6 Hamburg, NY|126|TRUE|FALSE|FALSE
5742662|42.94822|-78.69694|La Quinta Inn by Wyndham Buffalo Airport|114|TRUE|FALSE|FALSE
5742662|42.74101|-78.84892|Red Roof Inn Buffalo - Hamburg/ I-90|115|TRUE|FALSE|FALSE
5742662|42.73945|-78.84550|Super 8 by Wyndham Hamburg|126|TRUE|FALSE|FALSE
5742662|42.95010|-78.69276|Motel 6 Buffalo Airport|116|TRUE|FALSE|FALSE
5742662|42.96411|-78.69736|FairBridge Inn Express Buffalo Airport / Williamsville|100|TRUE|FALSE|FALSE
5742662|42.96495|-78.68693|Budget Inn Williamsville|130|TRUE|FALSE|FALSE
