name|city|lat|long|avgPrice
Amsterdam Hostel|San Francisco, CA|37.78940|-122.41215|  84.00000
The Clift Royal Sonesta Hotel|San Francisco, CA|37.78677|-122.41114| 215.00000
Civic Center Motor Inn|San Francisco, CA|37.77259|-122.41081|  92.00000
Hilton San Francisco Union Square|San Francisco, CA|37.78573|-122.41044| 200.00000
Fairmont San Francisco|San Francisco, CA|37.79237|-122.41003| 314.69231
Hotel Sunnyside|San Francisco, CA|37.78056|-122.40799|  58.00000
La Quinta Inn & Suites by Wyndham Santa Cruz|Santa Cruz, CA|37.65105|-122.40761| 157.00000
The Ritz-Carlton, San Francisco|San Francisco, CA|37.79187|-122.40708| 463.61538
Europa Hotel|San Francisco, CA|37.79822|-122.40689|  78.00000
Hotel North Beach|San Francisco, CA|37.79668|-122.40542|  87.00000
Hilton San Francisco Financial District|San Francisco, CA|37.79515|-122.40454| 133.76923
San Francisco Marriott Marquis|San Francisco, CA|37.78543|-122.40449| 246.00000
Park Pointe Hotel|San Francisco, CA|37.64829|-122.40432|  87.00000
The St. Regis San Francisco|San Francisco, CA|37.78606|-122.40138| 546.30769
Hyatt Regency San Francisco|San Francisco, CA|37.79425|-122.39590| 244.15385
Hyatt Place San Francisco Downtown|San Francisco, CA|37.77882|-122.39228| 194.15385
W Seattle|Seattle, WA|47.57093|-122.38652| 205.20000
Hotel Ballard|Seattle, WA|47.66623|-122.38256| 419.00000
Homewood Suites by Hilton-Seattle-Downtown, WA|Seattle, WA|47.62038|-122.35970| 171.00000
Mediterranean Inn|Seattle, WA|47.62304|-122.35693| 173.09091
The Edgewater Hotel|Seattle, WA|47.61254|-122.35284| 415.00000
Marco Polo Motel|Seattle, WA|47.65738|-122.34671| 103.00000
Days Inn by Wyndham Seattle Aurora|Seattle, WA|47.77134|-122.34658|  85.00000
Hampton Inn & Suites Seattle-Downtown|Seattle, WA|47.62587|-122.34654| 141.00000
Seattle Marriott Waterfront|Seattle, WA|47.61070|-122.34649| 241.66667
Crown Inn|Seattle, WA|47.69826|-122.34516|  91.00000
Columbus Motor Inn|Seattle, WA|47.69913|-122.34512|  93.18182
Travelodge by Wyndham Seattle North of Downtown|Seattle, WA|47.69109|-122.34362| 118.00000
Green Tortoise Hostel Seattle|Seattle, WA|47.60883|-122.33959|  82.54545
Four Seasons Hotel Seattle|Seattle, WA|47.60738|-122.33916| 801.90909
citizenM Seattle South Lake Union|Seattle, WA|47.61997|-122.33888| 153.00000
The Westin Seattle|Seattle, WA|47.61369|-122.33827| 197.00000
The Alexis Royal Sonesta Hotel Seattle|Seattle, WA|47.60477|-122.33690| 184.63636
Hyatt Regency Seattle|Seattle, WA|47.61482|-122.33458| 187.45455
Hyatt At Olive 8|Seattle, WA|47.61371|-122.33417| 189.81818
Fairmont Olympic Hotel|Seattle, WA|47.60806|-122.33393| 348.00000
The Paramount Hotel|Seattle, WA|47.61313|-122.33359| 167.00000
Grand Hyatt Seattle|Seattle, WA|47.61251|-122.33346| 189.81818
Executive Hotel Pacific|Seattle, WA|47.60702|-122.33344| 146.85714
Lotte Hotel Seattle|Seattle, WA|47.60525|-122.33084| 444.18182
W Bellevue|Seattle, WA|47.61628|-122.32679| 384.72727
DoubleTree by Hilton Hotel Berkeley Marina|Berkeley, CA|37.86967|-122.31497| 159.25000
Graduate Seattle|Seattle, WA|47.66166|-122.31463| 186.25000
Capitol Hill Apartments|Seattle, WA|47.62825|-122.31347| 363.00000
College Inn Hotel|Seattle, WA|47.65545|-122.31301| 100.00000
La Quinta Inn by Wyndham Berkeley|Berkeley, CA|37.86797|-122.29574| 131.00000
Quality Inn University|Berkeley, CA|37.87145|-122.27639| 128.75000
Hotel Shattuck Plaza|Berkeley, CA|37.86918|-122.26849| 183.50000
Residence Inn by Marriott Berkeley|Berkeley, CA|37.87076|-122.26719| 198.00000
Graduate Berkeley|Berkeley, CA|37.86792|-122.25631| 219.75000
The Palo Alto Inn|Santa Clara, CA|37.40757|-122.12160|  90.00000
Enchanté Boutique Hotel|Santa Clara, CA|37.38078|-122.11443| 389.00000
Hotel Strata|Santa Clara, CA|37.38121|-122.07586| 385.00000
Hotel Zico|Santa Clara, CA|37.37969|-122.06857|  93.00000
Mission Inn|Santa Cruz, CA|36.96192|-122.04698| 137.00000
The Grand Hotel|Santa Clara, CA|37.37113|-122.04279| 123.00000
Motel 6 Sunnyvale, CA - North|Santa Clara, CA|37.39588|-122.03047|  88.20000
Hilton Garden Inn Sunnyvale|Santa Clara, CA|37.39492|-122.03012| 105.00000
Travel Inn|Santa Clara, CA|37.39125|-122.02974|  88.00000
Vagabond Inn Sunnyvale|Santa Clara, CA|37.39616|-122.02716|  91.00000
Ocean Pacific Lodge|Santa Cruz, CA|36.96549|-122.02652| 125.00000
Dream Inn Santa Cruz|Santa Cruz, CA|36.96162|-122.02511| 270.00000
Beachview Inn|Santa Cruz, CA|36.96400|-122.02445|  96.00000
Beach Street Inn and Suites|Santa Cruz, CA|36.96390|-122.02323| 123.00000
Quality Inn Santa Cruz|Santa Cruz, CA|36.98177|-122.02320| 104.00000
Comfort Inn Santa Cruz|Santa Cruz, CA|36.98487|-122.02295| 118.00000
Hyatt Place Santa Cruz|Santa Cruz, CA|36.97333|-122.01938| 163.00000
Capri Motel|Santa Cruz, CA|36.96756|-122.01909|  75.00000
Torch Lite Inn|Santa Cruz, CA|36.96904|-122.01901|  85.00000
The Islander Motel|Santa Cruz, CA|36.97553|-122.01878|  92.00000
Continental Inn|Santa Cruz, CA|36.97396|-122.01817| 113.00000
Motel Santa Cruz|Santa Cruz, CA|36.97317|-122.01785| 109.00000
Ocean Gate Inn|Santa Cruz, CA|36.96897|-122.01696|  93.00000
Hitching Post Studios Inn|Santa Cruz, CA|36.98204|-122.00189|  86.00000
Hotel E Real|Santa Clara, CA|37.35202|-121.99497| 102.00000
Ramada by Wyndham Sunnyvale/Silicon Valley|Santa Clara, CA|37.39124|-121.99159| 114.00000
Motel 6 Santa Clara, CA|Santa Clara, CA|37.35179|-121.98475|  87.00000
Quality Inn & Suites Silicon Valley|Santa Clara, CA|37.35174|-121.97989| 105.00000
Residence Inn by Marriott San Jose North/Silicon Valley|Santa Clara, CA|37.42185|-121.97903| 155.00000
Aloft Santa Clara|Santa Clara, CA|37.41779|-121.97647| 185.00000
Santa Clara Marriott|Santa Clara, CA|37.39068|-121.97426| 371.00000
HYATT house San Jose/Silicon Valley|Santa Clara, CA|37.41650|-121.95285| 175.00000
Inn at Depot Hill|Santa Cruz, CA|36.97535|-121.94986| 422.00000
Hotel Valencia Santana Row|San Jose, CA|37.32084|-121.94809| 452.13333
Hotel Valencia Santana Row|Santa Clara, CA|37.32084|-121.94809| 409.60000
Best Western Plus Airport Plaza|Santa Clara, CA|37.34389|-121.92876| 154.00000
Homewood Suites By Hilton San Jose North|Santa Clara, CA|37.38463|-121.92856| 162.00000
DoubleTree by Hilton San Jose|San Jose, CA|37.37178|-121.92269| 146.00000
DoubleTree by Hilton San Jose|Santa Clara, CA|37.37178|-121.92269| 185.00000
Hyatt Place San Jose Airport|San Jose, CA|37.37352|-121.92125| 156.00000
Hyatt Place San Jose Airport|Santa Clara, CA|37.37352|-121.92125| 163.60000
Hyatt House San Jose Airport|San Jose, CA|37.37393|-121.91947| 155.00000
Hyatt House San Jose Airport|Santa Clara, CA|37.37393|-121.91947| 155.00000
Sonesta Select San Jose Airport|San Jose, CA|37.36547|-121.91865| 137.00000
Sonesta Select San Jose Airport|Santa Clara, CA|37.36547|-121.91865| 137.00000
Heritage Inn|Santa Clara, CA|37.42610|-121.91234|  85.00000
Sonesta Silicon Valley|Santa Clara, CA|37.40067|-121.91148| 154.00000
Days Inn by Wyndham San Jose Airport|Santa Clara, CA|37.42582|-121.91131| 105.00000
Sheraton San Jose Hotel|Santa Clara, CA|37.40273|-121.91119| 130.00000
Four Points by Sheraton San Jose Airport|San Jose, CA|37.36460|-121.90815| 124.00000
Four Points by Sheraton San Jose Airport|Santa Clara, CA|37.36460|-121.90815| 124.00000
Caravelle Inn & Suites|San Jose, CA|37.36059|-121.90799|  84.00000
Caravelle Inn & Suites|Santa Clara, CA|37.36059|-121.90799|  84.00000
Arena Hotel|Santa Clara, CA|37.33225|-121.90642| 102.00000
Wyndham Garden San Jose Airport|San Jose, CA|37.36202|-121.90637| 123.00000
Wyndham Garden San Jose Airport|Santa Clara, CA|37.36202|-121.90637| 123.00000
Milpitas Inn|San Jose, CA|37.42958|-121.90569| 103.00000
Milpitas Inn|Santa Clara, CA|37.42958|-121.90569| 103.00000
Americas Best Value Inn Milpitas Silicon Valley|Santa Clara, CA|37.42336|-121.90559|  97.00000
Alura Inn|San Jose, CA|37.37190|-121.89317|  87.40000
Alura Inn|Santa Clara, CA|37.37190|-121.89317|  87.40000
Hyatt Place San Jose/Downtown|San Jose, CA|37.33011|-121.89112| 137.00000
Hyatt Place San Jose/Downtown|Santa Clara, CA|37.33011|-121.89112| 137.00000
Hilton San Jose|San Jose, CA|37.32923|-121.89052| 196.00000
Signia by Hilton San Jose|San Jose, CA|37.33306|-121.88870| 281.73333
San Jose Marriott|San Jose, CA|37.33032|-121.88837| 240.46667
