league|id|time|date|city|title|full|venue|ven_id|score|lat|long|t1|t2|t3|t4|low|med|high|name|xname
mlb|5786172|01:35 pm|2023-08-06|Boston, MA|Blue Jays at Red Sox|Toronto Blue Jays at Boston Red Sox|Fenway Park|    21|0.838|42.3456| -71.0983|Boston Red Sox|Toronto Blue Jays|NA|NA| 69| 146|118792|MLB|MLB Baseball
mlb|5787402|06:05 pm|2023-08-05|Philadelphia, PA|Royals at Phillies|Kansas City Royals at Philadelphia Phillies|Citizens Bank Park|    18|0.834|39.9055| -75.1666|Philadelphia Phillies|Kansas City Royals|NA|NA| 44|  74|   658|MLB|MLB Baseball
mlb|5788309|06:10 pm|2023-08-05|Minneapolis, MN|Diamondbacks at Twins|Arizona Diamondbacks at Minnesota Twins|Target Field|  3712|0.831|44.9817| -93.2776|Minnesota Twins|Arizona Diamondbacks|NA|NA| 27|  68|  1435|MLB|MLB Baseball
mlb|5785978|12:20 pm|2023-08-02|Atlanta, GA|Angels at Braves|Los Angeles Angels at Atlanta Braves|Truist Park|418889|0.825|33.8897| -84.4654|Atlanta Braves|Los Angeles Angels|NA|NA| 18|  60|116812|MLB|MLB Baseball
mlb|5789554|07:10 pm|2023-08-05|Cleveland, OH|White Sox at Guardians|Chicago White Sox at Cleveland Guardians|Progressive Field|     6|0.819|41.4962| -81.6852|Cleveland Guardians|Chicago White Sox|NA|NA| 32| 110|   292|MLB|MLB Baseball
mlb|5787945|07:05 pm|2023-08-04|Baltimore, MD|Mets at Orioles|New York Mets at Baltimore Orioles|Oriole Park at Camden Yards|    25|0.814|39.2840| -76.6199|Baltimore Orioles|New York Mets|NA|NA| 30|  93|   391|MLB|MLB Baseball
mlb|5785988|07:20 pm|2023-08-15|Atlanta, GA|Yankees at Braves|New York Yankees at Atlanta Braves|Truist Park|418889|0.812|33.8897| -84.4654|Atlanta Braves|New York Yankees|NA|NA| 41| 104|  1163|MLB|MLB Baseball
mlb|5789550|07:10 pm|2023-08-04|Cleveland, OH|White Sox at Guardians|Chicago White Sox at Cleveland Guardians|Progressive Field|     6|0.812|41.4962| -81.6852|Cleveland Guardians|Chicago White Sox|NA|NA| 34| 120|   291|MLB|MLB Baseball
mlb|5787406|01:35 pm|2023-08-06|Philadelphia, PA|Royals at Phillies|Kansas City Royals at Philadelphia Phillies|Citizens Bank Park|    18|0.812|39.9055| -75.1666|Philadelphia Phillies|Kansas City Royals|NA|NA| 27|  69|   709|MLB|MLB Baseball
mlb|5787394|07:05 pm|2023-08-04|Philadelphia, PA|Royals at Phillies|Kansas City Royals at Philadelphia Phillies|Citizens Bank Park|    18|0.811|39.9055| -75.1666|Philadelphia Phillies|Kansas City Royals|NA|NA| 39|  73|   276|MLB|MLB Baseball
