league|time|date|city|title|full|venue|ven_id|score|lat|long|t1|t2|t3|t4|low|med|high|name|xname|id
nfl|07:20 pm|2022-12-04|Arlington, TX|Colts at Cowboys|Indianapolis Colts at Dallas Cowboys|AT&T Stadium|  4965|0.983|32.7473| -97.0945|Dallas Cowboys|Indianapolis Colts|NA|NA| 41| 381|  4076|NFL|NFL Football|   1
nfl|05:20 pm|2022-12-18|Las Vegas, NV|Patriots at Raiders|New England Patriots at Las Vegas Raiders|Allegiant Stadium|514837|0.982|36.0909|-115.1830|Las Vegas Raiders|New England Patriots|NA|NA|300| 647|  9118|NFL|NFL Football|   2
nfl|01:25 pm|2022-12-11|Santa Clara, CA|Buccaneers at 49ers|Tampa Bay Buccaneers at San Francisco 49ers|Levi's Stadium| 58670|0.980|37.4023|-121.9690|San Francisco 49ers|Tampa Bay Buccaneers|NA|NA|215| 576|  6925|NFL|NFL Football|   3
nfl|02:05 pm|2022-12-18|Denver, CO|Cardinals at Broncos|Arizona Cardinals at Denver Broncos|Empower Field at Mile High|  1131|0.895|39.7439|-105.0200|Denver Broncos|Arizona Cardinals|NA|NA|108| 270|  1463|NFL|NFL Football|   4
nfl|03:30 pm|2022-11-24|Arlington, TX|Giants at Cowboys|New York Giants at Dallas Cowboys|AT&T Stadium|  4965|0.978|32.7473| -97.0945|Dallas Cowboys|New York Giants|NA|NA| 78| 477| 12433|NFL|NFL Football|   5
nfl|01:00 pm|2022-11-13|Miami Gardens, FL|Browns at Dolphins|Cleveland Browns at Miami Dolphins|Hard Rock Stadium|    29|0.894|25.9579| -80.2388|Miami Dolphins|Cleveland Browns|NA|NA|142| 331|  5655|NFL|NFL Football|   6
nfl|01:00 pm|2022-12-04|Atlanta, GA|Steelers at Falcons|Pittsburgh Steelers at Atlanta Falcons|Mercedes-Benz Stadium|419590|0.967|33.7556| -84.4024|Atlanta Falcons|Pittsburgh Steelers|NA|NA|194| 375|  2817|NFL|NFL Football|   7
nfl|12:00 pm|2022-12-11|Arlington, TX|Texans at Cowboys|Houston Texans at Dallas Cowboys|AT&T Stadium|  4965|0.966|32.7473| -97.0945|Dallas Cowboys|Houston Texans|NA|NA| 63| 480|  3532|NFL|NFL Football|   8
nfl|03:25 pm|2022-11-13|Green Bay, WI|Cowboys at Packers|Dallas Cowboys at Green Bay Packers|Lambeau Field|  1125|0.965|44.5013| -88.0622|Green Bay Packers|Dallas Cowboys|NA|NA|176| 396|   855|NFL|NFL Football|   9
nfl|12:00 pm|2022-12-04|Chicago, IL|Packers at Bears|Green Bay Packers at Chicago Bears|Soldier Field|    31|0.965|41.8623| -87.6159|Chicago Bears|Green Bay Packers|NA|NA|271| 551|  1599|NFL|NFL Football|  10
nfl|08:20 pm|2022-11-27|Philadelphia, PA|Packers at Eagles|Green Bay Packers at Philadelphia Eagles|Lincoln Financial Field|   330|0.962|39.9008| -75.1675|Philadelphia Eagles|Green Bay Packers|NA|NA|264| 459| 11309|NFL|NFL Football|  11
nfl|01:05 pm|2022-12-04|Santa Clara, CA|Dolphins at 49ers|Miami Dolphins at San Francisco 49ers|Levi's Stadium| 58670|0.962|37.4023|-121.9690|San Francisco 49ers|Miami Dolphins|NA|NA|134| 373|  6253|NFL|NFL Football|  12
nfl|03:25 pm|2022-11-20|Minneapolis, MN|Cowboys at Vikings|Dallas Cowboys at Minnesota Vikings|U.S. Bank Stadium|218451|0.958|44.9751| -93.2582|Minnesota Vikings|Dallas Cowboys|NA|NA|247| 429| 14496|NFL|NFL Football|  13
nfl|05:20 pm|2022-11-13|Santa Clara, CA|Chargers at 49ers|Los Angeles Chargers at San Francisco 49ers|Levi's Stadium| 58670|0.957|37.4023|-121.9690|San Francisco 49ers|Los Angeles Chargers|NA|NA|177| 337|  2700|NFL|NFL Football|  14
nfl|01:25 pm|2022-12-04|Las Vegas, NV|Chargers at Raiders|Los Angeles Chargers at Las Vegas Raiders|Allegiant Stadium|514837|0.956|36.0909|-115.1830|Las Vegas Raiders|Los Angeles Chargers|NA|NA|287| 601|  4805|NFL|NFL Football|  15
nfl|06:15 pm|2022-12-12|Glendale, AZ|Patriots at Cardinals|New England Patriots at Arizona Cardinals|State Farm Stadium|    43|0.955|33.5276|-112.2630|Arizona Cardinals|New England Patriots|NA|NA|104| 350|  3175|NFL|NFL Football|  16
nfl|01:25 pm|2022-11-27|Santa Clara, CA|Saints at 49ers|New Orleans Saints at San Francisco 49ers|Levi's Stadium| 58670|0.953|37.4023|-121.9690|San Francisco 49ers|New Orleans Saints|NA|NA|121| 316|  2826|NFL|NFL Football|  17
nfl|01:00 pm|2022-12-11|East Rutherford, NJ|Eagles at Giants|Philadelphia Eagles at New York Giants|MetLife Stadium|  1587|0.953|40.8142| -74.0737|New York Giants|Philadelphia Eagles|NA|NA|218| 420|  3134|NFL|NFL Football|  18
nfl|08:15 pm|2022-12-05|Tampa, FL|Saints at Buccaneers|New Orleans Saints at Tampa Bay Buccaneers|Raymond James Stadium|    39|0.912|27.9762| -82.5034|Tampa Bay Buccaneers|New Orleans Saints|NA|NA|143| 303|  1576|NFL|NFL Football|  19
nfl|01:00 pm|2022-11-20|Atlanta, GA|Bears at Falcons|Chicago Bears at Atlanta Falcons|Mercedes-Benz Stadium|419590|0.945|33.7556| -84.4024|Atlanta Falcons|Chicago Bears|NA|NA|107| 210|  1268|NFL|NFL Football|  20
nfl|05:20 pm|2022-11-20|Inglewood, CA|Chiefs at Chargers|Kansas City Chiefs at Los Angeles Chargers|SoFi Stadium|487036|0.944|33.9535|-118.3390|Los Angeles Chargers|Kansas City Chiefs|NA|NA|132| 292|  2287|NFL|NFL Football|  21
nfl|01:05 pm|2022-12-11|Inglewood, CA|Dolphins at Chargers|Miami Dolphins at Los Angeles Chargers|SoFi Stadium|487036|0.944|33.9535|-118.3390|Los Angeles Chargers|Miami Dolphins|NA|NA| 83| 198|  1731|NFL|NFL Football|  22
nfl|01:05 pm|2022-11-13|Las Vegas, NV|Colts at Raiders|Indianapolis Colts at Las Vegas Raiders|Allegiant Stadium|514837|0.940|36.0909|-115.1830|Las Vegas Raiders|Indianapolis Colts|NA|NA|187| 362| 11547|NFL|NFL Football|  23
nfl|01:00 pm|2022-11-27|East Rutherford, NJ|Bears at Jets|Chicago Bears at New York Jets|MetLife Stadium|  1587|0.938|40.8142| -74.0737|New York Jets|Chicago Bears|NA|NA| 73| 200|  1198|NFL|NFL Football|  24
nfl|03:30 am|2022-12-17|Landover, MD|Giants at Commanders|New York Giants at Washington Commanders|FedExField|    35|0.935|38.9076| -76.8645|Washington Commanders|New York Giants|NA|NA| 66| 141|   713|NFL|NFL Football|  25
nfl|01:00 pm|2022-12-04|Philadelphia, PA|Titans at Eagles|Tennessee Titans at Philadelphia Eagles|Lincoln Financial Field|   330|0.935|39.9008| -75.1675|Philadelphia Eagles|Tennessee Titans|NA|NA|225| 596| 11547|NFL|NFL Football|  26
nfl|06:20 pm|2022-12-11|Denver, CO|Chiefs at Broncos|Kansas City Chiefs at Denver Broncos|Empower Field at Mile High|  1131|0.934|39.7439|-105.0200|Denver Broncos|Kansas City Chiefs|NA|NA|207| 343|  2400|NFL|NFL Football|  27
nfl|03:25 pm|2022-11-27|Kansas City, MO|Rams at Chiefs|Los Angeles Rams at Kansas City Chiefs|GEHA Field at Arrowhead Stadium|  1128|0.932|39.0489| -94.4839|Kansas City Chiefs|Los Angeles Rams|NA|NA|216| 384|  1469|NFL|NFL Football|  28
nfl|12:00 pm|2022-12-18|Chicago, IL|Eagles at Bears|Philadelphia Eagles at Chicago Bears|Soldier Field|    31|0.931|41.8623| -87.6159|Chicago Bears|Philadelphia Eagles|NA|NA|138| 331|  4134|NFL|NFL Football|  29
nfl|01:00 pm|2022-11-13|Pittsburgh, PA|Saints at Steelers|New Orleans Saints at Pittsburgh Steelers|Acrisure Stadium|  1119|0.906|40.4468| -80.0158|Pittsburgh Steelers|New Orleans Saints|NA|NA|106| 249| 11547|NFL|NFL Football|  30
nfl|01:00 pm|2022-11-20|Orchard Park, NY|Browns at Bills|Cleveland Browns at Buffalo Bills|Highmark Stadium|  1135|0.913|42.7737| -78.7874|Buffalo Bills|Cleveland Browns|NA|NA|251| 410|  1493|NFL|NFL Football|  31
nfl|01:25 pm|2022-12-18|Inglewood, CA|Titans at Chargers|Tennessee Titans at Los Angeles Chargers|SoFi Stadium|487036|0.928|33.9535|-118.3390|Los Angeles Chargers|Tennessee Titans|NA|NA| 57| 144|  2375|NFL|NFL Football|  32
nfl|01:00 pm|2022-12-04|East Rutherford, NJ|Commanders at Giants|Washington Commanders at New York Giants|MetLife Stadium|  1587|0.928|40.8142| -74.0737|New York Giants|Washington Commanders|NA|NA|113| 209|  1900|NFL|NFL Football|  33
nfl|04:25 pm|2022-12-18|Tampa, FL|Bengals at Buccaneers|Cincinnati Bengals at Tampa Bay Buccaneers|Raymond James Stadium|    39|0.927|27.9762| -82.5034|Tampa Bay Buccaneers|Cincinnati Bengals|NA|NA|186| 403|  2545|NFL|NFL Football|  34
nfl|05:15 pm|2022-12-08|Inglewood, CA|Raiders at Rams|Las Vegas Raiders at Los Angeles Rams|SoFi Stadium|487036|0.927|33.9535|-118.3390|Los Angeles Rams|Las Vegas Raiders|NA|NA|187| 396|  2980|NFL|NFL Football|  35
nfl|01:05 pm|2022-11-27|Seattle, WA|Raiders at Seahawks|Las Vegas Raiders at Seattle Seahawks|Lumen Field|   339|0.926|47.5948|-122.3320|Seattle Seahawks|Las Vegas Raiders|NA|NA|192| 430|  1191|NFL|NFL Football|  36
nfl|01:00 pm|2022-11-13|Orchard Park, NY|Vikings at Bills|Minnesota Vikings at Buffalo Bills|Highmark Stadium|  1135|0.926|42.7737| -78.7874|Buffalo Bills|Minnesota Vikings|NA|NA|185| 391|  1199|NFL|NFL Football|  37
nfl|12:00 pm|2022-12-11|Nashville, TN|Jaguars at Titans|Jacksonville Jaguars at Tennessee Titans|Nissan Stadium|  1126|0.840|36.1661| -86.7721|Tennessee Titans|Jacksonville Jaguars|NA|NA| 90| 243|   733|NFL|NFL Football|  38
nfl|05:15 pm|2022-12-15|Seattle, WA|49ers at Seahawks|San Francisco 49ers at Seattle Seahawks|Lumen Field|   339|0.924|47.5948|-122.3320|Seattle Seahawks|San Francisco 49ers|NA|NA|211| 461| 11547|NFL|NFL Football|  39
nfl|01:00 pm|2022-12-18|Charlotte, NC|Steelers at Panthers|Pittsburgh Steelers at Carolina Panthers|Bank of America Stadium|  1122|0.923|35.2258| -80.8528|Carolina Panthers|Pittsburgh Steelers|NA|NA|110| 229|  1584|NFL|NFL Football|  40
nfl|02:05 pm|2022-11-20|Denver, CO|Raiders at Broncos|Las Vegas Raiders at Denver Broncos|Empower Field at Mile High|  1131|0.922|39.7439|-105.0200|Denver Broncos|Las Vegas Raiders|NA|NA|166| 333|  1157|NFL|NFL Football|  41
nfl|01:00 pm|2022-11-20|Foxborough, MA|Jets at Patriots|New York Jets at New England Patriots|Gillette Stadium|    33|0.922|42.0906| -71.2674|New England Patriots|New York Jets|NA|NA|200| 353| 11904|NFL|NFL Football|  42
nfl|01:00 pm|2022-12-11|Detroit, MI|Vikings at Lions|Minnesota Vikings at Detroit Lions|Ford Field|   346|0.921|42.3400| -83.0459|Detroit Lions|Minnesota Vikings|NA|NA| 75| 130|  1590|NFL|NFL Football|  43
nfl|01:00 pm|2022-12-04|Detroit, MI|Jaguars at Lions|Jacksonville Jaguars at Detroit Lions|Ford Field|   346|0.896|42.3400| -83.0459|Detroit Lions|Jacksonville Jaguars|NA|NA| 57| 116|   576|NFL|NFL Football|  44
nfl|07:20 pm|2022-11-24|Minneapolis, MN|Patriots at Vikings|New England Patriots at Minnesota Vikings|U.S. Bank Stadium|218451|0.920|44.9751| -93.2582|Minnesota Vikings|New England Patriots|NA|NA|112| 251|  2030|NFL|NFL Football|  45
nfl|01:00 pm|2022-11-13|East Rutherford, NJ|Texans at Giants|Houston Texans at New York Giants|MetLife Stadium|  1587|0.903|40.8142| -74.0737|New York Giants|Houston Texans|NA|NA| 95| 176|  1638|NFL|NFL Football|  46
nfl|12:00 pm|2022-12-04|Minneapolis, MN|Jets at Vikings|New York Jets at Minnesota Vikings|U.S. Bank Stadium|218451|0.919|44.9751| -93.2582|Minnesota Vikings|New York Jets|NA|NA|111| 213|  2193|NFL|NFL Football|  47
nfl|12:00 pm|2022-11-27|Nashville, TN|Bengals at Titans|Cincinnati Bengals at Tennessee Titans|Nissan Stadium|  1126|0.864|36.1661| -86.7721|Tennessee Titans|Cincinnati Bengals|NA|NA|230| 417|  1001|NFL|NFL Football|  48
nfl|01:00 pm|2022-11-20|East Rutherford, NJ|Lions at Giants|Detroit Lions at New York Giants|MetLife Stadium|  1587|0.919|40.8142| -74.0737|New York Giants|Detroit Lions|NA|NA|120| 240|  1570|NFL|NFL Football|  49
nfl|02:05 pm|2022-11-27|Glendale, AZ|Chargers at Cardinals|Los Angeles Chargers at Arizona Cardinals|State Farm Stadium|    43|0.918|33.5276|-112.2630|Arizona Cardinals|Los Angeles Chargers|NA|NA| 66| 229|  1270|NFL|NFL Football|  50
nfl|12:00 pm|2022-11-13|Chicago, IL|Lions at Bears|Detroit Lions at Chicago Bears|Soldier Field|    31|0.918|41.8623| -87.6159|Chicago Bears|Detroit Lions|NA|NA|150| 325|  1129|NFL|NFL Football|  51
nfl|12:00 pm|2022-11-13|Kansas City, MO|Jaguars at Chiefs|Jacksonville Jaguars at Kansas City Chiefs|GEHA Field at Arrowhead Stadium|  1128|0.917|39.0489| -94.4839|Kansas City Chiefs|Jacksonville Jaguars|NA|NA|197| 311|   827|NFL|NFL Football|  52
nfl|08:15 pm|2022-11-14|Philadelphia, PA|Commanders at Eagles|Washington Commanders at Philadelphia Eagles|Lincoln Financial Field|   330|0.917|39.9008| -75.1675|Philadelphia Eagles|Washington Commanders|NA|NA|161| 313|  4289|NFL|NFL Football|  53
nfl|03:30 am|2022-12-17|Minneapolis, MN|Colts at Vikings|Indianapolis Colts at Minnesota Vikings|U.S. Bank Stadium|218451|0.916|44.9751| -93.2582|Minnesota Vikings|Indianapolis Colts|NA|NA| 85| 199| 11608|NFL|NFL Football|  54
nfl|01:00 pm|2022-12-18|East Rutherford, NJ|Lions at Jets|Detroit Lions at New York Jets|MetLife Stadium|  1587|0.916|40.8142| -74.0737|New York Jets|Detroit Lions|NA|NA| 58| 139|  2423|NFL|NFL Football|  55
nfl|03:30 am|2022-12-17|Orchard Park, NY|Dolphins at Bills|Miami Dolphins at Buffalo Bills|Highmark Stadium|  1135|0.915|42.7737| -78.7874|Buffalo Bills|Miami Dolphins|NA|NA|201| 362|  2885|NFL|NFL Football|  56
nfl|12:00 pm|2022-11-13|Nashville, TN|Broncos at Titans|Denver Broncos  at Tennessee Titans|Nissan Stadium|  1126|0.885|36.1661| -86.7721|Tennessee Titans|Denver Broncos|NA|NA|144| 349|   600|NFL|NFL Football|  57
nfl|04:25 pm|2022-12-04|Cincinnati, OH|Chiefs at Bengals|Kansas City Chiefs at Cincinnati Bengals|Paycor Stadium|  1124|0.913|39.0961| -84.5177|Cincinnati Bengals|Kansas City Chiefs|NA|NA|232| 494| 12154|NFL|NFL Football|  58
nfl|01:00 pm|2022-11-20|Indianapolis, IN|Eagles at Colts|Philadelphia Eagles at Indianapolis Colts|Lucas Oil Stadium|  1130|0.909|39.7601| -86.1639|Indianapolis Colts|Philadelphia Eagles|NA|NA|183| 368|  1353|NFL|NFL Football|  59
nfl|01:00 pm|2022-12-11|Pittsburgh, PA|Ravens at Steelers|Baltimore Ravens at Pittsburgh Steelers|Acrisure Stadium|  1119|0.912|40.4468| -80.0158|Pittsburgh Steelers|Baltimore Ravens|NA|NA|109| 267|  1214|NFL|NFL Football|  60
nfl|12:00 pm|2022-12-18|Houston, TX|Chiefs at Texans|Kansas City Chiefs at Houston Texans|NRG Stadium|    41|0.909|29.6847| -95.4107|Houston Texans|Kansas City Chiefs|NA|NA| 79| 197|  6008|NFL|NFL Football|  61
nfl|01:00 pm|2022-12-11|Cincinnati, OH|Browns at Bengals|Cleveland Browns at Cincinnati Bengals|Paycor Stadium|  1124|0.909|39.0961| -84.5177|Cincinnati Bengals|Cleveland Browns|NA|NA|226| 455| 12154|NFL|NFL Football|  62
nfl|07:15 pm|2022-11-17|Green Bay, WI|Titans at Packers|Tennessee Titans at Green Bay Packers|Lambeau Field|  1125|0.875|44.5013| -88.0622|Green Bay Packers|Tennessee Titans|NA|NA| 93| 202|   917|NFL|NFL Football|  63
nfl|12:30 pm|2022-11-24|Detroit, MI|Bills at Lions|Buffalo Bills at Detroit Lions|Ford Field|   346|0.908|42.3400| -83.0459|Detroit Lions|Buffalo Bills|NA|NA|159| 261| 11357|NFL|NFL Football|  64
nfl|01:05 pm|2022-12-04|Inglewood, CA|Seahawks at Rams|Seattle Seahawks at Los Angeles Rams|SoFi Stadium|487036|0.908|33.9535|-118.3390|Los Angeles Rams|Seattle Seahawks|NA|NA| 79| 199|  1828|NFL|NFL Football|  65
nfl|01:00 pm|2022-12-11|Orchard Park, NY|Jets at Bills|New York Jets at Buffalo Bills|Highmark Stadium|  1135|0.908|42.7737| -78.7874|Buffalo Bills|New York Jets|NA|NA|207| 374|  3462|NFL|NFL Football|  66
nfl|10:35 am|2022-11-27|Glendale, AZ|Cardinals Tailgate Party at Heritage Pavilion : Los Angeles Chargers at Arizona Cardinals|Cardinals Tailgate Party at Heritage Pavilion : Los Angeles Chargers at Arizona Cardinals|State Farm Stadium|    43|0.636|33.5276|-112.2630|Arizona Cardinals|NA|NA|NA|150| 150|   150|NFL|NFL Football|  67
nfl|08:15 pm|2022-12-01|Foxborough, MA|Bills at Patriots|Buffalo Bills at New England Patriots|Gillette Stadium|    33|0.907|42.0906| -71.2674|New England Patriots|Buffalo Bills|NA|NA|172| 331|  2136|NFL|NFL Football|  68
nfl|01:00 pm|2022-12-04|Baltimore, MD|Broncos at Ravens|Denver Broncos  at Baltimore Ravens|M&T Bank Stadium|  1121|0.906|39.2779| -76.6229|Baltimore Ravens|Denver Broncos|NA|NA|102| 198|  1731|NFL|NFL Football|  69
nfl|01:00 pm|2022-11-20|Baltimore, MD|Panthers at Ravens|Carolina Panthers at Baltimore Ravens|M&T Bank Stadium|  1121|0.873|39.2779| -76.6229|Baltimore Ravens|Carolina Panthers|NA|NA| 96| 191|   983|NFL|NFL Football|  70
nfl|01:00 pm|2022-12-18|Jacksonville, FL|Cowboys at Jaguars|Dallas Cowboys at Jacksonville Jaguars|TIAA Bank Field|  5178|0.901|30.3240| -81.6373|Jacksonville Jaguars|Dallas Cowboys|NA|NA|193| 482|  3000|NFL|NFL Football|  71
nfl|08:15 pm|2022-11-28|Indianapolis, IN|Steelers at Colts|Pittsburgh Steelers at Indianapolis Colts|Lucas Oil Stadium|  1130|0.901|39.7601| -86.1639|Indianapolis Colts|Pittsburgh Steelers|Ihsaa Football Championships|NA| 61| 187| 11790|NFL|NFL Football|  72
nfl|04:25 pm|2022-11-20|Pittsburgh, PA|Bengals at Steelers|Cincinnati Bengals at Pittsburgh Steelers|Acrisure Stadium|  1119|0.902|40.4468| -80.0158|Pittsburgh Steelers|Cincinnati Bengals|NA|NA| 94| 254|  5755|NFL|NFL Football|  73
nfl|07:15 pm|2022-12-19|Green Bay, WI|Rams at Packers|Los Angeles Rams at Green Bay Packers|Lambeau Field|  1125|0.892|44.5013| -88.0622|Green Bay Packers|Los Angeles Rams|NA|NA|102| 215|   776|NFL|NFL Football|  74
nfl|01:00 pm|2022-11-27|Cleveland, OH|Buccaneers at Browns|Tampa Bay Buccaneers at Cleveland Browns|FirstEnergy Stadium|  1123|0.898|41.5065| -81.7000|Cleveland Browns|Tampa Bay Buccaneers|NA|NA| 79| 208|  2678|NFL|NFL Football|  75
nfl|08:15 pm|2022-11-10|Charlotte, NC|Falcons at Panthers|Atlanta Falcons at Carolina Panthers|Bank of America Stadium|  1122|0.836|35.2258| -80.8528|Carolina Panthers|Atlanta Falcons|NA|NA| 39|  85|   381|NFL|NFL Football|  76
nfl|01:00 pm|2022-11-27|Charlotte, NC|Broncos at Panthers|Denver Broncos at Carolina Panthers|Bank of America Stadium|  1122|0.901|35.2258| -80.8528|Carolina Panthers|Denver Broncos|NA|NA| 63| 126|  1269|NFL|NFL Football|  77
nfl|01:25 pm|2022-12-11|Seattle, WA|Panthers at Seahawks|Carolina Panthers at Seattle Seahawks|Lumen Field|   339|0.900|47.5948|-122.3320|Seattle Seahawks|Carolina Panthers|NA|NA|120| 259| 11547|NFL|NFL Football|  78
nfl|01:25 pm|2022-11-13|Inglewood, CA|Cardinals at Rams|Arizona Cardinals at Los Angeles Rams|SoFi Stadium|487036|0.887|33.9535|-118.3390|Los Angeles Rams|Arizona Cardinals|NA|NA| 58| 153|  1800|NFL|NFL Football|  79
nfl|03:30 am|2022-12-17|New Orleans, LA|Falcons at Saints|Atlanta Falcons at New Orleans Saints|Caesars Superdome|   128|0.889|29.9511| -90.0812|New Orleans Saints|Atlanta Falcons|NA|NA| 54| 254|  2540|NFL|NFL Football|  80
nfl|01:00 pm|2022-11-27|Jacksonville, FL|Ravens at Jaguars|Baltimore Ravens at Jacksonville Jaguars|TIAA Bank Field|  5178|0.836|30.3240| -81.6373|Jacksonville Jaguars|Baltimore Ravens|NA|NA| 59| 145|   846|NFL|NFL Football|  81
nfl|03:30 am|2022-12-17|Cleveland, OH|Ravens at Browns|Baltimore Ravens at Cleveland Browns|FirstEnergy Stadium|  1123|0.890|41.5065| -81.7000|Cleveland Browns|Baltimore Ravens|NA|NA| 51| 156|  2700|NFL|NFL Football|  82
nfl|01:00 pm|2022-11-27|Landover, MD|Falcons at Commanders|Atlanta Falcons at Washington Commanders|FedExField|    35|0.889|38.9076| -76.8645|Washington Commanders|Atlanta Falcons|NA|NA| 48| 100|   417|NFL|NFL Football|  83
nfl|12:00 pm|2022-12-04|Houston, TX|Browns at Texans|Cleveland Browns at Houston Texans|NRG Stadium|    41|0.886|29.6847| -95.4107|Houston Texans|Cleveland Browns|NA|NA| 37| 188|  6437|NFL|NFL Football|  84
nfl|12:00 pm|2022-11-20|Houston, TX|Commanders at Texans|Washington Commanders at Houston Texans|NRG Stadium|    41|0.861|29.6847| -95.4107|Houston Texans|Washington Commanders|NA|NA| 24|  95|   540|NFL|NFL Football|  85
nfl|12:00 pm|2022-11-20|New Orleans, LA|Rams at Saints|Los Angeles Rams at New Orleans Saints|Caesars Superdome|   128|0.881|29.9511| -90.0812|New Orleans Saints|Los Angeles Rams|NA|NA| 64| 287|  2540|NFL|NFL Football|  86
nfl|01:00 pm|2022-11-27|Miami Gardens, FL|Texans at Dolphins|Houston Texans  at Miami Dolphins|Hard Rock Stadium|    29|0.859|25.9579| -80.2388|Miami Dolphins|Houston Texans|NA|NA| 93| 215|  1220|NFL|NFL Football|  87
ncaa_football|03:30 am|2022-11-26|Los Angeles, CA|Notre Dame at USC|Notre Dame Fighting Irish at USC Trojans Football|Los Angeles Memorial Coliseum| 51012|0.971|34.0139|-118.2830|USC Trojans Football|Notre Dame Fighting Irish Football|NA|NA|145| 422|  1840|NCAA FB|College Football|  88
ncaa_football|06:30 pm|2022-11-12|Austin, TX||||NA|NA|NA|NA|||||NA|NA|NA|||  89
ncaa_football|03:00 pm|2022-12-16|Orlando, FL|Cure Bowl|Cure Bowl|Exploria Stadium|246056|0.390|28.5402| -81.3886|Cure Bowl|College Football Bowl Games|NA|NA| 45|  97|   303|NCAA FB|College Football|  90
ncaa_football|03:30 am|2022-11-26|Tuscaloosa, AL|Auburn Tigers at Alabama Crimson Tide Football|Auburn Tigers at Alabama Crimson Tide Football|Bryant-Denny Stadium|  2755|0.947|33.2083| -87.5504|Alabama Crimson Tide Football|Auburn Tigers Football|NA|NA|163| 305|  2000|NCAA FB|College Football|  91
ncaa_football|11:00 am|2022-11-12|Champaign, IL|Purdue at |||NA|NA|NA|NA|||||NA|NA|NA|||  92
ncaa_football|05:05 pm|2022-11-19|San Luis Obispo, CA|Portland State at Cal Poly|Portland State Vikings at Cal Poly Mustangs Football|Alex G. Spanos Stadium|  5936|0.516|35.3005|-120.6580|Cal Poly Mustangs Football|Portland State Vikings Football|NA|NA| 28|  33|    65|NCAA FB|College Football|  93
ncaa_football|03:30 am|2022-11-26|Athens, GA|Georgia Tech at Georgia|Georgia Tech Yellow Jackets at Georgia Bulldogs Football|Sanford Stadium|  2771|0.883|33.9488| -83.3736|Georgia Bulldogs Football|Georgia Tech Yellow Jackets Football|NA|NA|162| 455| 13402|NCAA FB|College Football|  94
ncaa_football|02:30 pm|2022-11-12|University, MS||||NA|NA|NA|NA|||||NA|NA|NA|||  95
ncaa_football|12:00 pm|2022-11-12|Albany, NY|Maine at Albany|Maine Black Bears at Albany Great Danes Football|Bob Ford Field at Tom & Mary Casey Stadium|  5987|0.517|42.6859| -73.8265|Albany Great Danes Football|Maine Black Bears Football|NA|NA| 36|  58|    76|NCAA FB|College Football|  96
ncaa_football|12:00 pm|2022-11-12|Greeley, CO|Northern Arizona at Northern Colorado|Northern Arizona Lumberjacks at Northern Colorado Bears Football|Nottingham Field|  5923|0.510|40.4003|-104.7160|Northern Colorado Bears Football|Northern Arizona Lumberjacks Football|NA|NA| 27|  41|    73|NCAA FB|College Football|  97
ncaa_football|12:00 pm|2022-11-19|Valparaiso, IN|Drake at Valparaiso|Drake Bulldogs at Valparaiso Beacons Football|Brown Field|  6035|0.475|41.4656| -87.0479|Valparaiso Beacons Football|Drake Bulldogs Football|NA|NA| 24|  24|    24|NCAA FB|College Football|  98
ncaa_football|01:00 pm|2022-11-25|Tucson, AZ|Arizona State at Arizona|Arizona State Sun Devils at Arizona Wildcats Football|Arizona Stadium|  2809|0.740|32.2298|-110.9460|Arizona Wildcats Football|Arizona State Sun Devils Football|NA|NA| 28| 108|   504|NCAA FB|College Football|  99
ncaa_football|03:30 am|2022-11-19|Clemson, SC|Miami (FL) at Clemson|Miami Hurricanes at Clemson Tigers Football|Clemson Memorial Stadium|  2761|0.905|34.6802| -82.8464|Clemson Tigers Football|Miami Hurricanes Football|NA|NA| 56| 242|  1069|NCAA FB|College Football| 100
ncaa_football|02:00 pm|2022-11-12|Charleston, SC|Virginia University of Lynchburg Dragons at The Citadel Bulldogs Football|Virginia University of Lynchburg Dragons at The Citadel Bulldogs Football|Johnson Hagood Stadium|  5990|0.475|32.7949| -79.9558|The Citadel Bulldogs Football|Virginia University of Lynchburg Dragons Football|NA|NA| 38|  57|    86|NCAA FB|College Football| 101
ncaa_football|06:30 pm|2022-11-12|Auburn, AL|Texas A&M Aggies at Auburn Tigers Football|Texas A&M Aggies at Auburn Tigers Football|Jordan-Hare Stadium|  2768|0.907|32.6022| -85.4891|Auburn Tigers Football|Texas A&M Aggies Football|NA|NA| 81| 101|   731|NCAA FB|College Football| 102
ncaa_football|12:00 pm|2022-11-12|Providence, RI|Columbia at Brown|Columbia Lions at Brown Bears Football|Richard Gouse Field at Brown Stadium|  5948|0.509|41.8423| -71.3939|Brown Bears Football|Columbia Lions Football|NA|NA| 23|  47|    60|NCAA FB|College Football| 103
ncaa_football|03:30 am|2022-11-19|Ann Arbor, MI|Illinois at Michigan|Illinois Fighting Illini at Michigan Wolverines Football|Michigan Stadium|  2782|0.881|42.2657| -83.7495|Michigan Wolverines Football|Illinois Fighting Illini Football|NA|NA|115| 234|  1247|NCAA FB|College Football| 104
ncaa_football|07:30 pm|2022-11-25|Tallahassee, FL|Florida at Florida State|Florida Gators at Florida State Seminoles Football|Doak Campbell Stadium|  2751|0.921|30.4377| -84.3050|Florida State Seminoles Football|Florida Gators Football|NA|NA|210| 275|  1646|NCAA FB|College Football| 105
