league|time|date|city|title|full|venue|ven_id|score|lat|long|t1|t2|t3|t4|low|med|high|name|xname|id
ncaa_basketball|08:30 pm|2022-11-18|Storrs, CT|UNCW at UConn|UNC Wilmington Seahawks at UConn Huskies Basketball|Gampel Pavilion|  3472|0.552|41.8072| -72.2557|UConn Huskies Basketball|UNC Wilmington Seahawks Basketball|NA|NA| 11|  27|   233|NCAA BB|College Basketball| 433
ncaa_basketball|08:30 pm|2022-11-23|Ann Arbor, MI|Jackson State at Michigan|Jackson State Tigers at Michigan Wolverines Basketball|Crisler Center|  3450|0.606|42.2650| -83.7467|Michigan Wolverines Basketball|Jackson State Tigers Basketball|NA|NA| 10|  28|  1465|NCAA BB|College Basketball| 434
ncaa_basketball|03:30 am|2022-11-29|Louisville, KY|Maryland at Louisville|Maryland Terrapins at Louisville Cardinals Basketball|KFC Yum! Center|  4353|0.661|38.2572| -85.7540|Louisville Cardinals Basketball|Maryland Terrapins Basketball|NA|NA| 42| 104|   539|NCAA BB|College Basketball| 435
ncaa_basketball|03:00 pm|2022-12-03|Fayetteville, AR|San Jose State at Arkansas|San Jose State Spartans at Arkansas Razorbacks Basketball|Bud Walton Arena|  3475|0.643|36.0616| -94.1780|Arkansas Razorbacks Basketball|San Jose State Spartans Basketball|NA|NA| 52| 100|   474|NCAA BB|College Basketball| 436
ncaa_basketball|08:00 pm|2022-11-14|Charlottesville, VA|UNI at Virginia|Northern Iowa Panthers at Virginia Cavaliers Basketball|John Paul Jones Arena|    90|0.536|38.0463| -78.5074|Virginia Cavaliers Basketball|Northern Iowa Panthers Basketball|NA|NA| 11|  56|   112|NCAA BB|College Basketball| 437
ncaa_basketball|07:00 pm|2022-11-19|Provo, UT|Nicholls at BYU|Nicholls State Colonels at BYU Cougars Basketball|Marriott Center|  4134|0.481|40.2541|-111.6490|BYU Cougars Basketball|Nicholls State Colonels Basketball|NA|NA| 12|  30|   124|NCAA BB|College Basketball| 438
ncaa_basketball|04:00 pm|2022-11-27|Los Angeles, CA|Bellarmine at UCLA|Bellarmine Knights at UCLA Bruins Basketball|Pauley Pavilion|  3483|0.541|34.0703|-118.4470|UCLA Bruins Basketball|Bellarmine Knights Basketball|NA|NA| 14|  66|   449|NCAA BB|College Basketball| 439
ncaa_basketball|04:00 pm|2022-11-19|Williamsburg, VA|Army West Point at William & Mary|Army Black Knights at William & Mary Tribe Basketball|Kaplan Arena|  5171|0.420|37.2711| -76.7076|William & Mary Tribe Basketball|Army Black Knights Basketball|NA|NA| 30|  33|    92|NCAA BB|College Basketball| 440
ncaa_basketball|06:00 pm|2022-11-11|Minneapolis, MN|St. Francis (NY) Terriers at Minnesota Golden Gophers Basketball|St. Francis (NY) Terriers at Minnesota Golden Gophers Basketball|Williams Arena|  3423|0.549|44.9769| -93.2284|Minnesota Golden Gophers Basketball|St. Francis (NY) Terriers Basketball|NA|NA| 11|  42|    97|NCAA BB|College Basketball| 441
ncaa_basketball|08:00 pm|2022-11-11|Champaign, IL|Kansas City at Illinois|Kansas City Roos at Illinois Fighting Illini Basketball|State Farm Center|   921|0.560|40.0962| -88.2359|Illinois Fighting Illini Basketball|Kansas City Roos Basketball|NA|NA| 18|  64|   161|NCAA BB|College Basketball| 442
ncaa_basketball|07:15 pm|2022-11-30|Durham, NC|Ohio State at Duke|Ohio State Buckeyes at Duke Blue Devils Basketball|Cameron Indoor Stadium|  3437|0.779|35.9975| -78.9422|Duke Blue Devils Basketball|Ohio State Buckeyes Basketball|NA|NA|252| 609|  2479|NCAA BB|College Basketball| 443
